"yearDraft","numberPickOverall","numberRound","numberRoundPick","namePlayer","slugTeam","nameOrganizationFrom","typeOrganizationFrom","idPlayer","idTeam","nameTeam","cityTeam","teamName","PLAYER_PROFILE_FLAG","slugOrganizationTypeFrom","locationOrganizationFrom"
1993.0,7.0,1.0,7.0,Bobby Hurley,SAC,Duke,College/University,310.0,1610612758,Sacramento Kings,Sacramento,Kings,1.0,COL,
1993.0,8.0,1.0,8.0,Vin Baker,MIL,Hartford,College/University,452.0,1610612749,Milwaukee Bucks,Milwaukee,Bucks,1.0,COL,
1993.0,9.0,1.0,9.0,Rodney Rogers,DEN,Wake Forest,College/University,915.0,1610612743,Denver Nuggets,Denver,Nuggets,1.0,COL,
1993.0,10.0,1.0,10.0,Lindsey Hunter,DET,Jackson State,College/University,283.0,1610612765,Detroit Pistons,Detroit,Pistons,1.0,COL,
1993.0,11.0,1.0,11.0,Allan Houston,DET,Tennessee,College/University,275.0,1610612765,Detroit Pistons,Detroit,Pistons,1.0,COL,
1993.0,12.0,1.0,12.0,George Lynch,LAL,North Carolina,College/University,248.0,1610612747,Los Angeles Lakers,Los Angeles,Lakers,1.0,COL,
1993.0,13.0,1.0,13.0,Terry Dehere,LAC,Seton Hall,College/University,143.0,1610612746,Los Angeles Clippers,Los Angeles,Clippers,1.0,COL,
1993.0,14.0,1.0,14.0,Scott Haskin,IND,Oregon State,College/University,321.0,1610612754,Indiana Pacers,Indiana,Pacers,1.0,COL,
1993.0,15.0,1.0,15.0,Doug Edwards,ATL,Florida State,College/University,346.0,1610612737,Atlanta Hawks,Atlanta,Hawks,1.0,COL,
1993.0,16.0,1.0,16.0,Rex Walters,NJN,Kansas,College/University,777.0,1610612751,New Jersey Nets,New Jersey,Nets,1.0,COL,
1993.0,17.0,1.0,17.0,Greg Graham,CHH,Indiana,College/University,37.0,1610612766,Charlotte Hornets,Charlotte,Hornets,1.0,COL,
1993.0,18.0,1.0,18.0,Luther Wright,UTH,Seton Hall,College/University,1007.0,1610612762,Utah Jazz,Utah,Jazz,1.0,COL,
1993.0,19.0,1.0,19.0,Acie Earl,BOS,Iowa,College/University,768.0,1610612738,Boston Celtics,Boston,Celtics,1.0,COL,
1993.0,20.0,1.0,20.0,Scott Burrell,CHH,Connecticut,College/University,197.0,1610612766,Charlotte Hornets,Charlotte,Hornets,1.0,COL,
1993.0,21.0,1.0,21.0,James Robinson,POR,Alabama,College/University,381.0,1610612757,Portland Trail Blazers,Portland,Trail Blazers,1.0,COL,
1993.0,22.0,1.0,22.0,Chris Mills,CLE,Arizona,College/University,168.0,1610612739,Cleveland Cavaliers,Cleveland,Cavaliers,1.0,COL,
1993.0,23.0,1.0,23.0,Ervin Johnson,SEA,New Orleans,College/University,911.0,1610612760,Seattle SuperSonics,Seattle,SuperSonics,1.0,COL,
1993.0,24.0,1.0,24.0,Sam Cassell,HOU,Florida State,College/University,208.0,1610612745,Houston Rockets,Houston,Rockets,1.0,COL,
1993.0,25.0,1.0,25.0,Corie Blount,CHI,Cincinnati,College/University,916.0,1610612741,Chicago Bulls,Chicago,Bulls,1.0,COL,
1993.0,26.0,1.0,26.0,Geert Hammink,ORL,Louisiana State,College/University,903.0,1610612753,Orlando Magic,Orlando,Magic,1.0,COL,
1993.0,27.0,1.0,27.0,Malcolm Mackey,PHX,Georgia Tech,College/University,1635.0,1610612756,Phoenix Suns,Phoenix,Suns,1.0,COL,
1993.0,28.0,2.0,1.0,Lucious Harris,DAL,Long Beach State,College/University,446.0,1610612742,Dallas Mavericks,Dallas,Mavericks,1.0,COL,
