"link","exception","extraction_date"
https://sports.yahoo.com/mikko-rantanen-goal-vs-minnesota-023730904.html,Article `download()` failed with 404 Client Error: Not Found for url: https://sports.yahoo.com/mikko-rantanen-goal-vs-minnesota-023730904.html on URL https://sports.yahoo.com/mikko-rantanen-goal-vs-minnesota-023730904.html,"2021-04-26"
https://www.forbes.com/sites/bradadgate/2021/04/08/ad-agencies-are-forecasting-a-stronger-ad-marketplace-in-2021/,Article `download()` failed with 403 Client Error: Max restarts limit reached for url: https://www.forbes.com/sites/bradadgate/2021/04/08/ad-agencies-are-forecasting-a-stronger-ad-marketplace-in-2021/ on URL https://www.forbes.com/sites/bradadgate/2021/04/08/ad-agencies-are-forecasting-a-stronger-ad-marketplace-in-2021/,"2021-04-26"
https://www.newsweek.com/ping-pong-diplomacy-celebrates-50-years-just-uschina-need-it-again-1582216,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.newsweek.com/ping-pong-diplomacy-celebrates-50-years-just-uschina-need-it-again-1582216 on URL https://www.newsweek.com/ping-pong-diplomacy-celebrates-50-years-just-uschina-need-it-again-1582216,"2021-04-26"
https://sports.yahoo.com/ivan-barbashev-goal-vs-minnesota-023529052.html,Article `download()` failed with 404 Client Error: Not Found for url: https://sports.yahoo.com/ivan-barbashev-goal-vs-minnesota-023529052.html on URL https://sports.yahoo.com/ivan-barbashev-goal-vs-minnesota-023529052.html,"2021-04-26"
https://sports.yahoo.com/jordan-binnington-spectacular-goalie-save-003253011.html,Article `download()` failed with 404 Client Error: Not Found for url: https://sports.yahoo.com/jordan-binnington-spectacular-goalie-save-003253011.html on URL https://sports.yahoo.com/jordan-binnington-spectacular-goalie-save-003253011.html,"2021-04-26"
https://sports.yahoo.com/st-louis-blues-vs-minnesota-025632476.html,Article `download()` failed with 404 Client Error: Not Found for url: https://sports.yahoo.com/st-louis-blues-vs-minnesota-025632476.html on URL https://sports.yahoo.com/st-louis-blues-vs-minnesota-025632476.html,"2021-04-26"
https://sports.yahoo.com/alex-dickersons-solo-home-run-202147807.html,Article `download()` failed with 404 Client Error: Not Found for url: https://sports.yahoo.com/alex-dickersons-solo-home-run-202147807.html on URL https://sports.yahoo.com/alex-dickersons-solo-home-run-202147807.html,"2021-04-26"
https://sports.yahoo.com/goal-philadelphia-flyers-vs-buffalo-205345459.html,Article `download()` failed with 404 Client Error: Not Found for url: https://sports.yahoo.com/goal-philadelphia-flyers-vs-buffalo-205345459.html on URL https://sports.yahoo.com/goal-philadelphia-flyers-vs-buffalo-205345459.html,"2021-04-26"
https://sports.yahoo.com/kyle-seagers-first-solo-home-195736290.html,Article `download()` failed with 404 Client Error: Not Found for url: https://sports.yahoo.com/kyle-seagers-first-solo-home-195736290.html on URL https://sports.yahoo.com/kyle-seagers-first-solo-home-195736290.html,"2021-04-26"
https://www.forbes.com/sites/alfredkonuwa/2021/04/10/wwe-wrestlemania-37-night-1-results-winners-news-and-notes-on-april-10-2021/,Article `download()` failed with 403 Client Error: Max restarts limit reached for url: https://www.forbes.com/sites/alfredkonuwa/2021/04/10/wwe-wrestlemania-37-night-1-results-winners-news-and-notes-on-april-10-2021/ on URL https://www.forbes.com/sites/alfredkonuwa/2021/04/10/wwe-wrestlemania-37-night-1-results-winners-news-and-notes-on-april-10-2021/,"2021-04-26"
